supermercado,codigo,nombre,categoria,precio_actual,unidad,fecha,clave
chanear,117.0,PUCHERO COMUN DE TERNERA,Carnes Vacunas,5800.0,kg,20260306,chanear_117.0_puchero comun de ternera
chanear,107.0,PUNTA DE VACIO O COLITA DE CUADRIL,Carnes Vacunas,22990.0,kg,20260306,chanear_107.0_punta de vacio o colita de cuadril
chanear,114.0,TAPA DE ASADO DE TERNERA,Carnes Vacunas,16800.0,kg,20260306,chanear_114.0_tapa de asado de ternera
chanear,110.0,TAPA DE NALGA,Carnes Vacunas,15800.0,kg,20260306,chanear_110.0_tapa de nalga
chanear,156.0,TOMAHAWK,Carnes Vacunas,31000.0,unidad,20260306,chanear_156.0_tomahawk
chanear,133.0,VACIO DE TERNERA,Carnes Vacunas,25300.0,kg,20260306,chanear_133.0_vacio de ternera
chanear,419.0,ALBONDIGAS DE POLLO,Pollo,8000.0,kg,20260306,chanear_419.0_albondigas de pollo
chanear,436.0,ARROLLADO DE POLLO,Pollo,16100.0,unidad,20260306,chanear_436.0_arrollado de pollo
chanear,411.0,FILET DE MUSLO DE POLLO,Pollo,12200.0,kg,20260306,chanear_411.0_filet de muslo de pollo
chanear,410.0,FILET DE PECHUGA DE POLLO,Pollo,9050.0,kg,20260306,chanear_410.0_filet de pechuga de pollo
chanear,426.0,HAMBURGUESA DE POLLO,Pollo,6500.0,unidad,20260306,chanear_426.0_hamburguesa de pollo
chanear,412.0,MILANESA DE PECHUGA,Pollo,8900.0,kg,20260306,chanear_412.0_milanesa de pechuga
chanear,421.0,MILANESA DE PECHUGA DE OFERTA,Pollo,8900.0,kg,20260306,chanear_421.0_milanesa de pechuga de oferta
chanear,413.0,MILANESAS DE MUSLO DE POLLO,Pollo,8900.0,kg,20260306,chanear_413.0_milanesas de muslo de pollo
chanear,404.0,PATA MUSLO,Pollo,4700.0,kg,20260306,chanear_404.0_pata muslo
chanear,424.0,PATA MUSLO DE OFERTA X 3 KG O MAS,Pollo,4390.0,kg,20260306,chanear_424.0_pata muslo de oferta x 3 kg o mas
chanear,427.0,PATITAS REBOZADAS DE POLLO,Pollo,11300.0,unidad,20260306,chanear_427.0_patitas rebozadas de pollo
chanear,400.0,POLLO ENTERO,Pollo,5400.0,unidad,20260306,chanear_400.0_pollo entero
chanear,422.0,PROMO DE FILET DE PECHUGA X 3 KG O MAS,Pollo,8385.0,unidad,20260306,chanear_422.0_promo de filet de pechuga x 3 kg o mas
chanear,308.0,BIFE DE CERDO O CHURRASQUITO DE CERDO,Cerdo,12300.0,unidad,20260306,chanear_308.0_bife de cerdo o churrasquito de cerdo
chanear,309.0,BONDIOLA DE CERDO,Cerdo,10650.0,kg,20260306,chanear_309.0_bondiola de cerdo
chanear,303.0,CARRE DE CERDO DESHUESADO,Cerdo,11900.0,kg,20260306,chanear_303.0_carre de cerdo deshuesado
chanear,305.0,CARRE DE CERDO RELLENO AGRIDULCE,Cerdo,15200.0,unidad,20260306,chanear_305.0_carre de cerdo relleno agridulce
chanear,304.0,CARRE DE CERDO RELLENO SALADO,Cerdo,15200.0,unidad,20260306,chanear_304.0_carre de cerdo relleno salado
chanear,302.0,COSTELETAS DE CERDO,Cerdo,7300.0,kg,20260306,chanear_302.0_costeletas de cerdo
chanear,336.0,MAR DEL PLATA DE CERDO,Cerdo,8900.0,kg,20260306,chanear_336.0_mar del plata de cerdo
chanear,307.0,MATAMBRITO DE CERDO,Cerdo,19600.0,unidad,20260306,chanear_307.0_matambrito de cerdo
chanear,330.0,MILANESAS DE CERDO,Cerdo,9990.0,kg,20260306,chanear_330.0_milanesas de cerdo
chanear,300.0,PECHITO DE CERDO,Cerdo,8750.0,kg,20260306,chanear_300.0_pechito de cerdo
chanear,313.0,PICADA DE CERDO,Cerdo,9000.0,kg,20260306,chanear_313.0_picada de cerdo
chanear,326.0,PULPAS DE CERDO,Cerdo,9200.0,kg,20260306,chanear_326.0_pulpas de cerdo
chanear,306.0,SOLOMILLO DE CERDO,Cerdo,12900.0,unidad,20260306,chanear_306.0_solomillo de cerdo
chanear,312.0,SOLOMILLO DE CERDO ENVUELTO EN PANCETA Y RELLENO CON QUESO PROVOLONE,Cerdo,22900.0,unidad,20260306,chanear_312.0_solomillo de cerdo envuelto en panceta y relleno con queso provolone
chanear,503.0,CHORIZO COLORADO,Embutidos,10000.0,unidad,20260306,chanear_503.0_chorizo colorado
chanear,501.0,CHORIZO MEZCLA,Embutidos,9500.0,unidad,20260306,chanear_501.0_chorizo mezcla
chanear,502.0,CHORIZO PURO CERDO,Embutidos,12000.0,unidad,20260306,chanear_502.0_chorizo puro cerdo
chanear,505.0,MORCILLA DULCE,Embutidos,8200.0,unidad,20260306,chanear_505.0_morcilla dulce
chanear,504.0,MORCILLA SALADA,Embutidos,8200.0,unidad,20260306,chanear_504.0_morcilla salada
chanear,506.0,SALCHICHA PARRILLERA,Embutidos,10990.0,unidad,20260306,chanear_506.0_salchicha parrillera
chanear,160.0,ALBONDIGAS DE CARNE VACUNA,Elaborados,11500.0,kg,20260306,chanear_160.0_albondigas de carne vacuna
chanear,182.0,HAMBURGUESA LA MUÑECA X 86 GRAMOS (X 2 UNIDADES),Elaborados,2000.0,unidad,20260306,chanear_182.0_hamburguesa la muñeca x 86 gramos (x 2 unidades)
chanear,162.0,HAMBURGUESA CASERA PREMIUN,Elaborados Premium,9500.0,unidad,20260306,chanear_162.0_hamburguesa casera premiun
chanear,147.0,MATAMBRE ARROLLADO CASERO DE TERNERA,Elaborados Premium,33000.0,kg,20260306,chanear_147.0_matambre arrollado casero de ternera
chanear,138.0,MILANESAS DE TERNERA DE OFERTA X 2 KG O MAS,Elaborados Premium,12200.0,kg,20260306,chanear_138.0_milanesas de ternera de oferta x 2 kg o mas
chanear,141.0,MILANESAS DE TERNERA X KG,Elaborados Premium,13700.0,kg,20260306,chanear_141.0_milanesas de ternera x kg
chanear,163.0,TAPITA DE CUADRIL RELLENA,Elaborados Premium,24500.0,unidad,20260306,chanear_163.0_tapita de cuadril rellena
piala,,Picada común,Cortes vacunos,9000.0,kg,20260307,piala__picada común
piala,,Brazuelo con hueso/ Pata de ternera de 10kg,Cortes vacunos,12000.0,kg,20260307,piala__brazuelo con hueso/ pata de ternera de 10kg
piala,,Pata de ternera de 7kg,Cortes vacunos,13332.0,unidad,20260307,piala__pata de ternera de 7kg
piala,,Lomo,Cortes vacunos,26200.0,kg,20260307,piala__lomo
piala,,Falda,Cortes vacunos,11800.0,kg,20260307,piala__falda
piala,,Entrecot comun / Roast beef,Cortes vacunos,13000.0,kg,20260307,piala__entrecot comun / roast beef
piala,,Entraña fina,Cortes vacunos,29500.0,kg,20260307,piala__entraña fina
piala,,Cuadril,Cortes vacunos,19300.0,kg,20260307,piala__cuadril
piala,,Costeleta grande,Cortes vacunos,12400.0,kg,20260307,piala__costeleta grande
piala,,Costeleta chica,Cortes vacunos,16800.0,kg,20260307,piala__costeleta chica
piala,,Colita de cuadril / Punta de vacio,Cortes vacunos,22700.0,kg,20260307,piala__colita de cuadril / punta de vacio
piala,,Cima de ternera,Cortes vacunos,16500.0,kg,20260307,piala__cima de ternera
piala,,Cabeza de lomo / Bola de lomo,Cortes vacunos,16700.0,kg,20260307,piala__cabeza de lomo / bola de lomo
piala,,Brazuelo sin hueso,Cortes vacunos,16300.0,kg,20260307,piala__brazuelo sin hueso
piala,,Brazuelo con hueso/ Pata de ternera de 5kg,Cortes vacunos,12000.0,kg,20260307,piala__brazuelo con hueso/ pata de ternera de 5kg
piala,,Arañita,Cortes vacunos,19600.0,kg,20260307,piala__arañita
piala,,Asado de novillito,Cortes vacunos,19000.0,kg,20260307,piala__asado de novillito
